"Задача","Контур","Agent / Скрипт","Профиль","Тип работы","Вход → Выход","Триггер","Tools","Куда пишет","Тир модели"
"Rule-maker: текст требования → машинно-проверяемое правило: {поле: состав, язык: uz, обязательно: да}, {штрих-код: EAN-13}, {знак: сертификация}","A · Build","Classifier (Rule-maker)","Label","Классификация","Текст требования → JSON-правило","step (по конвейеру)","","rules","средний LLM"
"Verifier (Правило): правило точно соответствует норме. КРИТИЧНАЯ ТОЧКА: кривое правило = кривой pass/fail вердикт юзеру в фото-чеке","A · Build","Verifier","Label","Проверка","Норма + JSON-правило → pass/fail","step (по конвейеру)","","Вердикт","дорогой LLM"
"Scope-резолвер: привязка требования к кодам ИКПУ/ТН ВЭД (точный код / класс-префикс / все товары)","A · Build","Classifier","Label","Классификация","Требование → scope (коды)","step (по конвейеру)","Справочник ИКПУ/ТН ВЭД","requirement scope","средний LLM"
"Lifecycle-экстрактор: полный жизненный цикл требования — {дата вступления в силу, переходный период, дедлайны, дата утраты силы, отменяющий акт}. Проверяется Verifier (Норма): неверная дата = неверный совет юзеру","A · Build","Classifier (Lifecycle)","Норма","Классификация","Акт/фрагмент → структура дат жизненного цикла","step (по конвейеру)","","Айтем (draft): только даты, без статуса","дешёвый LLM"
"Исполнить поиск по санкциям: «а что будет, если не сделать»","A · Build","Retriever","Санкции","Итеративный поиск","Требование → фрагменты об ответственности","step (по конвейеру)","RPC search_norms (LegalX)","Айтем (draft)","средний LLM"
"Verifier (Санкции): фрагмент реально отвечает, ничего не выдумано","A · Build","Verifier","Санкции","Проверка","Вопрос + фрагмент → pass/fail","step (по конвейеру)","","Вердикт","дорогой LLM"
"Санкции-структуризатор: текст → {статья КоАО, штраф в БРВ, мера: конфискация/запрет ввоза} — формат блока «Санкции» на витрине","A · Build","Classifier","Санкции","Классификация","Текст санкции → структура {статья, штраф, мера}","step (по конвейеру)","","requirement_details","дешёвый LLM"
"Судебные кейсы: поиск в SudX по статье санкции → топ-5, снапшот линков при Build (кнопка под блоком Санкции → список → переход в SudX)","A · Build","Retriever","Судебные кейсы","Итеративный поиск","Статья санкции → топ-5 кейсов (линки)","step (по конвейеру)","RPC search_cases (SudX, схема court)","requirement_details (снапшот)","средний LLM"
"Verifier (Кейсы): кейсы реально по этой статье/теме, ничего не выдумано","A · Build","Verifier","Судебные кейсы","Проверка","Статья + кейсы → pass/fail","step (по конвейеру)","","Вердикт","дорогой LLM"
"Кейс-саммаризатор: суть дела, исход, сумма — строки списка под кнопкой (макс 5)","A · Build","Summarizer","Судебные кейсы","Объяснение","Кейс → однострочное саммари","step (по конвейеру)","","requirement_details","дешёвый LLM"
"Samples judge: нужны ли примеры документов для этого требования?","A · Build","Samples judge (бывший Agent 8)","Samples","Суждение","Требование → нужен / не нужен шаблон","step (по конвейеру)","","Айтем (draft)","средний LLM"
"Template hunter: поиск шаблонов документов в интернете; не нашёл → сигнал менеджеру → на витрине «Данных пока нет»","A · Build","Web search agent (бывший Agent 9)","Samples","Поиск в интернете","Тип документа → шаблон + источник / not found","step (по конвейеру)","Internet access","requirement_details","средний LLM"
"Verifier (Samples): качество и источник шаблона (актуальность, официальность)","A · Build","Verifier","Samples","Проверка","Шаблон + источник → pass/fail","step (по конвейеру)","","Вердикт","дорогой LLM"
"In-house lawyer: нужна ли имплементация вообще? Инструкция «что делать» бизнесу (detailed instruction / potential changes)","A · Build","In-house lawyer (агент)","","Суждение","Карточка требования → инструкция / потенциальные изменения","step (по конвейеру)","","requirement_details","дорогой LLM"
"Translator (uz): перевод всех ИИ-текстов (суть, «что делать», объяснения санкций). Официальные текстовки — из LegalX уже с переводом","A · Build","Translator","Перевод","Объяснение","ru-тексты → uz-тексты","step (по конвейеру)","","contents/details (строки uz)","дешёвый LLM"
"Verifier (Перевод): uz-текст эквивалентен ru, термины корректны","A · Build","Verifier","Перевод","Проверка","ru + uz → pass/fail","step (по конвейеру)","","Вердикт","средний LLM"
"Дедупликация: одно требование, найденное через разные вопросы → merge в канонический айтем (иначе дубли на витрине)","A · Build","Код (эмбеддинги) + Classifier на спорных","","Классификация","Кандидаты → канонические айтемы","step (по конвейеру)","Эмбеддинги + порог схожести","Айтемы (merge)","дешёвый LLM"
"Assembler: сборка карточки по TARGET_FORMAT §4 — тизер в contents, мясо (санкции + кейсы + шаблоны + инструкция) в details под пейволл. Пустой блок → «Данных пока нет»","A · Build","Assembler","","Сборка","Все куски айтема → карточка по контракту §4","step (по конвейеру)","Контракт TARGET_FORMAT §4","Карточка (готовая к записи)","средний LLM"
"Статус действия — ВЫЧИСЛЯЕМОЕ поле (не храним текстом!): upcoming / in_force / transitional / expiring / repealed считается кодом из дат на лету — «вступает 01.01.27» сам станет «в силе» без ре-ревью. Assembler кладёт бейдж + пояснение («что успеть до даты X» от In-house lawyer) в detailed info","A · Build","Код (SQL/view) + Assembler","","Сборка","Даты жизненного цикла + сегодня → статус-бейдж в details","step (по конвейеру)","","requirement_details (блок «Статус действия»)","код/CV"
"Cron переходов статуса: дата наступила (upcoming→in_force, transitional→in_force, →repealed) → уведомление юзерам с этим товаром «требование вступило в силу / срок истёк». Перенос даты актом (часто в УЗ) приходит через Impact-маппер как обычное изменение","C · Monitoring","Скрипт","","Скрипт","Даты + сегодня → события перехода + нотификации","cron","pg_cron","user_notifications","код/CV"
"Загрузка в БД InspectorX: upsert requirements + requirement_contents + requirement_details + scope, статус draft","A · Build","Скрипт","","Скрипт","Карточка → строки БД","step (по конвейеру)","Supabase InspectorX","БД InspectorX (draft)","код/CV"
"Coverage checker: карта vs факт — закрыто / драфт / не найдено. Различает «нормы нет в УЗ» vs «не нашли». Отчёт тебе после каждого прогона группы","A · Build","Скрипт + LLM (объяснение пробелов)","","Проверка","Карта + статусы → отчёт покрытия","step (по конвейеру)","","Отчёт + needs-attention","дешёвый LLM"
"Публикация: все верификации pass → published; фейл ×N → остаётся в draft + needs-attention (без человека в контуре, ты разбираешь пачкой)","A · Build","Код (+ LLM-менеджер при фейлах)","","Оркестрация","Статусы верификаций → published / draft","step (по конвейеру)","","requirements.published","код/CV"
"Оркестратор Runtime: приём события «фото загружено» (веб И TG), маршрутизация шагов фото-пайплайна","B · Runtime (фото)","Код","","Оркестрация","Событие фото → запуск пайплайна","event","Веб-аплоад + TG-бот","photo_checks","код/CV"
"Генератор чек-листа лейбл-чека (A.4): ПРОИЗВОДНЫЙ артефакт из машинных правил группы (требования маркировка/упаковка). Версионируется: правила изменились → новая версия vN+1. Связка Build→Runtime","B · Runtime (фото)","Скрипт + LLM","Label","Сборка","Машинные правила группы → чек-лист vN","event","rules","checklists (vN)","дешёвый LLM"
"Приём фото (веб/TG) → проверка качества: размыто/темно → «переснимите»","B · Runtime (фото)","Скрипт + CV модель","","Скрипт","Фото → ok / retake","event","CV-модель","photo_checks","код/CV"
"Детекция зон (этикетка, штрих-код, маркировка, знаки) → OCR uz/ru + декодирование штрих-кода","B · Runtime (фото)","Скрипт + CV модель","","Скрипт","Фото → зоны + текст + код","step (по конвейеру)","CV, OCR uz/ru, barcode decoder","photo_checks","код/CV"
"Vision agent: прогон против чек-листа vN → вердикт по пунктам (pass/fail/unreadable) + аннотированное фото + «что делать». Вердикт хранит версию чек-листа","B · Runtime (фото)","Vision agent","Label","Проверка","Зоны + чек-лист vN → вердикт + аннотации","step (по конвейеру)","Vision-модель","photo_checks (+ версия чек-листа)","средний LLM"
"Эскалация спорных вердиктов: unreadable / low-confidence → менеджер исключений → needs-attention","B · Runtime (фото)","LLM-менеджер исключений","","Суждение","Спорный вердикт → решение / эскалация","event","","needs-attention","дорогой LLM"
"Приём webhook от LegalX: изменение СВЯЗАННОГО акта/фрагмента → запись change_events","C · Monitoring","Скрипт","","Скрипт","Webhook → change_event","event","pg_net / HTTP endpoint","change_events","код/CV"
"Impact-маппер: change_event → какие требования затронуты → flagged_by_change (карточка остаётся на витрине при ре-ревью)","C · Monitoring","Код + Classifier","","Классификация","change_event → requirement_change_impacts","event","","requirement_change_impacts + flagged_by_change","средний LLM"
"Принести карту изменений (provision change history): история версий нормы","C · Monitoring","Скрипт (без агента)","","Скрипт","Акт → история версий","step (по конвейеру)","Python script","requirement_details","код/CV"
"In-house lawyer (мониторинг): нужна ли имплементация изменения? → запуск ре-ревью айтема (частичный Build по затронутым шагам)","C · Monitoring","In-house lawyer (агент)","","Суждение","Изменение → вердикт + план ре-ревью","step (по конвейеру)","","Очередь ре-ревью","дорогой LLM"
"Перегенерация чек-листа при изменении правил маркировки → новая версия vN+1 (дёргает генератор из контура B)","C · Monitoring","Код","Label","Оркестрация","flagged правило → чек-лист vN+1","event","","checklists","код/CV"
"Уведомления юзерам: impacts → user_notifications. Вкл. «этикетка проверялась по старой версии чек-листа — перепроверьте» (сравнение версий вердиктов)","C · Monitoring","Скрипт","","Скрипт","impacts + версии вердиктов → нотификации","event","pg_cron + pg_net","user_notifications","код/CV"
"Discovery-джоб: НОВЫЕ акты LegalX (никем не связаны → webhook не сработает) → прогон вопросов Cartographer по свежим поступлениям → кандидаты новых айтемов в draft","C · Monitoring","Код + Retriever","Норма","Итеративный поиск","Новые акты → кандидаты айтемов","cron","RPC search_norms","Айтемы (draft)","средний LLM"
"Golden set: ~20 требований размечено руками → eval качества Retriever/Verifier ДО масштабирования. Без этого улучшение агентов — вслепую","D · Инфра","Ты (разметка) + eval-скрипт","","Проверка","Прогон на golden set → метрики","manual","","Отчёт качества","код/CV"
"Трейсинг + стоимость: лог всех LLM-вызовов по ролям, цена прогона группы — база для выбора моделей на дискавери","D · Инфра","Скрипт / трейсинг-тул","","Скрипт","Вызовы → трейсы + $","step (по конвейеру)","","Trace-хранилище","код/CV"
"[Задача разработки, LegalX] RPC search_norms: гибрид pgvector + FTS + метафильтры. Сейчас сделано некачественно — чиним отдельной сессией","D · Инфра","— (дев-задача)","","Скрипт","Запрос → фрагменты + акт + статья + якорь","manual","Supabase LegalX","LegalX","код/CV"
"[Задача разработки, SudX] RPC search_cases + линковка кейсов по статье санкции (схема court)","D · Инфра","— (дев-задача)","","Скрипт","Статья → кейсы","manual","Схема court в БД LegalX","SudX","код/CV"
"[Задача разработки, LegalX] Webhook изменений: акт изменился → pg_net → InspectorX. Сейчас сделано некачественно — чиним отдельной сессией","D · Инфра","— (дев-задача)","","Скрипт","Изменение акта → HTTP-уведомление","manual","pg_net","LegalX → InspectorX","код/CV"
